                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 0.7434,                0.41043,                0.85678,                0.92275,                0.98969,                  0.988,                 0.6874,                 1.0558,                0.50345,                0.87984,               0.000713,               0.000713,               0.000713
                     55,                0.71428,                0.37713,                0.84616,                0.92229,                0.98969,                0.98969,                 0.6819,                 1.0548,                0.49814,                0.88133,             0.00068825,             0.00068825,             0.00068825
                     56,                0.76965,                0.39541,                0.83898,                0.91152,                0.98969,                0.98849,                0.67396,                 1.0852,                 0.4991,                0.88523,              0.0006635,              0.0006635,              0.0006635
                     57,                0.74314,                0.38701,                 0.8558,                0.90309,                0.98969,                0.98525,                 0.6875,                 1.0516,                0.50035,                0.87883,             0.00063875,             0.00063875,             0.00063875
                     58,                0.74253,                0.38973,                0.84156,                0.92135,                0.96612,                0.98632,                0.69327,                 1.0374,                0.50349,                0.87212,               0.000614,               0.000614,               0.000614
                     59,                0.74928,                0.40213,                0.86982,                0.91019,                0.98969,                0.98346,                0.67621,                 1.0924,                0.51524,                0.88277,             0.00058925,             0.00058925,             0.00058925
                     60,                0.69373,                0.38198,                0.85369,                0.90434,                0.97464,                 0.9821,                 0.6754,                 1.0923,                0.51964,                0.88503,              0.0005645,              0.0005645,              0.0005645
                     61,                0.71165,                0.39995,                0.85124,                0.90296,                0.98969,                0.98446,                0.67811,                 1.0879,                0.52359,                0.88552,             0.00053975,             0.00053975,             0.00053975
                     62,                0.65249,                0.36656,                  0.845,                0.92307,                0.98963,                0.98646,                 0.6693,                 1.1072,                0.51564,                0.88814,               0.000515,               0.000515,               0.000515
                     63,                0.69172,                0.36914,                0.84186,                0.95873,                  0.958,                0.98747,                0.68696,                 1.0888,                0.51526,                0.88648,             0.00049025,             0.00049025,             0.00049025
                     64,                0.71086,                0.37694,                0.83494,                0.94996,                0.97858,                0.98933,                0.69452,                 1.0587,                0.50666,                0.87697,              0.0004655,              0.0004655,              0.0004655
                     65,                0.67888,                0.39802,                 0.8688,                0.94971,                0.97354,                0.98855,                0.69027,                 1.0598,                0.50225,                0.87513,             0.00044075,             0.00044075,             0.00044075
                     66,                 0.6838,                0.37014,                0.84355,                0.95932,                0.97253,                 0.9898,                0.67046,                 1.0988,                0.51242,                0.87976,               0.000416,               0.000416,               0.000416
                     67,                0.66045,                0.36522,                0.84208,                0.96872,                0.95771,                0.98894,                0.67693,                 1.0776,                0.50778,                0.87989,             0.00039125,             0.00039125,             0.00039125
                     68,                0.65235,                0.36473,                0.83958,                0.94958,                0.97074,                0.98959,                  0.668,                 1.0847,                0.49529,                0.88219,              0.0003665,              0.0003665,              0.0003665
                     69,                0.67901,                0.37848,                0.84651,                0.93113,                0.97564,                0.98867,                0.67535,                 1.0935,                0.49566,                 0.8835,             0.00034175,             0.00034175,             0.00034175
                     70,                0.66775,                0.36368,                0.82955,                0.90566,                0.98963,                0.98704,                0.66873,                 1.1044,                0.50848,                0.88171,               0.000317,               0.000317,               0.000317
                     71,                0.70697,                0.37243,                0.84161,                0.94389,                0.94845,                0.98485,                 0.6614,                 1.0919,                0.52861,                 0.8859,             0.00029225,             0.00029225,             0.00029225
                     72,                 0.7256,                0.38374,                0.85012,                0.92908,                0.95876,                0.98186,                0.66869,                 1.0809,                0.53635,                0.88663,              0.0002675,              0.0002675,              0.0002675
                     73,                0.66753,                0.35755,                0.84239,                0.95838,                0.90722,                0.98239,                0.66283,                 1.0906,                0.52749,                0.88993,             0.00024275,             0.00024275,             0.00024275
                     74,                0.69731,                0.38857,                0.83839,                0.92044,                0.95414,                0.98213,                0.66563,                 1.0775,                0.53422,                0.89019,               0.000218,               0.000218,               0.000218
                     75,                0.69867,                0.38386,                 0.8508,                0.94282,                0.93814,                0.98339,                0.66779,                 1.0711,                0.52782,                0.88854,             0.00019325,             0.00019325,             0.00019325
                     76,                0.66186,                 0.3562,                0.84053,                0.94999,                0.93814,                0.98526,                0.67383,                 1.0759,                0.51308,                0.88683,              0.0001685,              0.0001685,              0.0001685
                     77,                0.66173,                0.35695,                0.83785,                0.93722,                0.94845,                0.98453,                0.67137,                 1.0728,                0.51681,                0.88544,             0.00014375,             0.00014375,             0.00014375
                     78,                0.63003,                0.34578,                0.84681,                0.93822,                 0.9394,                0.98487,                0.67027,                 1.0711,                0.51448,                0.88504,               0.000119,               0.000119,               0.000119
                     79,                0.65161,                0.35005,                0.84893,                0.93856,                0.94486,                0.98496,                0.67012,                 1.0688,                0.52134,                0.88587,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.64548,                0.34491,                0.85636,                0.93867,                0.94673,                0.98514,                0.66946,                  1.071,                0.51519,                0.88591,               6.95e-05,               6.95e-05,               6.95e-05
